Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Raspberry Pi Zero V1.3 Solder","other mcu or rpi that are cheaper cannot handle camera with gps and a display, they just fail ",1,28.00,"https://www.aliexpress.com/item/1005008224603338.html","Aliexpress"
"MAX9814","Small cheap microphone to hear sound",1,3.00,"https://www.aliexpress.com/item/1005007822446596.html","Aliexpress"
"jumper wires","small set of jumper wires to connect everything together",1,3.00,"https://www.aliexpress.com/item/1005007046465880.html","Aliexpress"
"F1 69 camera","very cheap small camera with fixed focus",1,5.00,"https://www.aliexpress.com/item/32668508991.html","Aliexpress"
"2.8 TFT ST7789","to see playback on",1,7.50,"https://www.aliexpress.com/item/1005007346338083.html","aliexpress"
"32GB Micro SD Card + reader","To store the firmware and OS on + reader to actually flash it",1,11.00,"https://www.aliexpress.com/item/1005007501610476.html","aliexpress"
"isolation tape","NEEDED beacose there are only 2, 3.3V on the rp pi so i will need to solder and tape jumper wires together to use more things out of 1, 3.3V",1,4.38,"https://www.alza.cz/hobby/yato-paska-izolacni-250-19-mm20-m-cerna-d7772288.htm","alza"
"Micro USB to USB A","to power the RP Pi",1,4.38,"https://www.alza.cz/vention-usb-2-0-to-micro-usb-2a-cable-0-5m-black-d7375191.htm","alza"
"NEO-8M with antenna","GPS so the microcontroller can see time, location and speed",1,10.50,"https://www.aliexpress.com/item/1005006323393609.html","aliexpress"
"6x6x9.5 tact switches","to control the playback and recording",1,5.00,"https://www.aliexpress.com/item/4000206046150.html","aliexpress"
"M2x4mm, M2x16m","to hold all parts and the case together",2,2.00,"https://www.aliexpress.com/item/1005008269323359.html","aliexpress"